corpus,qid,label,count,lat,lon
cs,Q23406,Red Sea,16,22,38
cs,Q2428381,Strahov,16,50.086,14.39
cs,Q408,Australia,16,-25,133
cs,Q13375,Pisa,16,43.716666666667,10.4
cs,Q1210,Lombardy,16,45.65,9.95
cs,Q6555,Narbonne,16,43.184722222222,3.0036111111111
cs,Q55,Netherlands,15,52.316666666667,5.55
cs,Q1530,Baghdad,15,33.31527777777778,44.36611111111111
cs,Q111144,Canossa,15,44.573555,10.455307
cs,Q31945,Arabian Peninsula,15,23,46
cs,Q180086,Galicia,15,49.83,24.01416666667
cs,Q15878,Normandy,15,49.12233911111111,-0.43664430555555556
cs,Q934703,Kouřim,15,50.003119975612,14.977096015946
cs,Q3509915,Slovanský ostrov,15,50.0796694,14.4124667
cs,Q12431,Pyrenees,15,42.666666666667,1
cs,Q122443,Attica,15,38.0027,23.81
cs,Q1891,Bologna,15,44.493888888889,11.342777777778
cs,Q456,Lyon,15,45.758888888889,4.8413888888889
cs,Q42880,Tyrol,15,47.266666666667,11.4
cs,Q11767,Mesopotamia,15,33.7,43.5
cs,q213,Czech Republic,15,50,15
cs,Q637954,Betar,15,31.73,35.135556
cs,Q1272772,Dřínov,15,49.292901609079,17.233397135251
cs,Q2524209,Děhylov,15,49.869371943342,18.163371489491
cs,Q593540,Svatá Hora,14,49.685011,14.017581
cs,Q841296,Příbram,14,49.68996461067,14.010474512485
cs,Q44160,Toulon,14,43.125,5.9305555555556
cs,Q155045,Ohře,14,50.529384,14.134078
cs,Q1091758,Cidlina,14,50.12315,15.15727
cs,Q158257,Hlučín,14,49.897939786775,18.19200490075
cs,Q3104218,Skadar,14,44.26666667,19.55
cs,Q851419,Turnov,14,50.587341607858,15.156899388718
cs,Q22,Scotland,14,57,-5
cs,Q452242,Prachov Rocks,14,50.468333333333,15.284166666667
cs,Q158239,Kroměříž,14,49.297859972783,17.393134863736
cs,Q158245,Písek,14,49.30888068684,14.147530601921
cs,Q213230,Hron,14,47.8179,18.7417
cs,Q212150,Marathon,14,38.155,23.963611111111
